,PAGE,REG,POS,Name,Length,Option,Attribute,Match
66,0,12,4,seq_step_time_cmem[1:0]  ,2,CMEM fast charge time.	00 = 50ms	01 = 100ms	10 = 150ms	11 = 200ms,N,
67,0,12,2,seq_step_time_pd[1:0],2,Sequencer time during internal-feedback exit.	00 = 50us	01 = 100us	10 = 200us	11 = 300us,N,
68,0,12,0,seq_step_time_pu[1:0],2,Sequencer time during internal-feedback entering.	00 = 50us	01 = 100us	10 = 200us	11 = 300us,N,
69,0,13,7,clk_missing_rst_en,1,Enable of clock missing feature.	0 = disabled (default)	1 = enabled,N,
70,0,13,5,clk_missing_rst_mode[1:0],2,"Clock missing reset mode selection.	00 = 200us resolution, 1.4 ms timeout	01 = 200us resolution, 2.8 ms timeout	10 = 1ms resolution, 7 ms timeout	11 = 1ms resolution, 14 ms timeout",N,
71,0,13,4,seq_auto_cal_dis,1,Automatic offset calibration at path opening.	0 = enabled (default)	1 = disabled,N,
72,0,13,3,seq_pd_mode,1,Spkear power-down mode.	0 = analog sequence after digital volume ramp (default)	1 = digital volume ramp only,N,
73,0,13,1,seq_cmem_wait,1,CMEM charging mode.	0 = CMEM charged during play (default)	1 = waiting for CMEM charging before to enter in play,N,
74,0,13,0,seq_bst_ovp_en,1,Enable of shutdown sequence according to a bst ovp.	0 = interrupt only (default)	1 = interrupt and shutdown,N,
75,0,14,3,seq_ng_mode,1,Spkear noise-gate mode	0 = internal feedback	1 = dedicated noise-gate procedure (default),N,
76,0,14,2,ng_tif_en,1,Enable of tif in noise-gate. It's meaningfull in TDM (below 768KHz) mode only.	0 = tif turned off in noise gate	1 = tif enabled in noise gate (default),N,
77,0,14,1,ng_intfb_pa_en,1,"In internal feedback noise-gate, selects the pa status. It's meaningful only if REG14[3] = 0	0 = pa off in ng	1 = pa on in ng (dafault)",N,
78,0,14,0,ng_intfb_clk_en,1,"In internal feedback noise-gate, selects the mod clocks status. It's meaningful only if REG14[3] = 0	0 = clk off in ng	1 = clk on in ng (dafault)",N,
79,0,15,0,seq_ramp_offs_step_time[10:8],3,Step time used during offset ramps. It's the number of refclk periods for each step.,N,16
80,0,16,0,seq_ramp_offs_step_time[7:0],8,Step time used during offset ramps. It's the number of refclk periods for each step.,N,15
81,0,17,0,seq_state[4:0],5,Sequencer FSM state.		0_0000 = SPK_OFF            	0_0001 = BST_PWRUP          	0_0010 = WAIT_PA_EN         	0_0011 = WAIT_PA_EN_D       	0_0100 = MUTE               	0_0101 = INT_CAL            	0_0110 = EXT_CAL            	0_0111 = WAIT_INTFB_DN      	0_1000 = BST_BIAS_EN        	0_1001 = WAIT_VOL_PU        	0_1010 = PLAYBACK           	0_1011 = WAIT_VOL_PD        	0_1100 = WAIT_BST_BYP       	0_1101 = WAIT_BST_BIAS      	0_1110 = BST_BIAS_DN        	0_1111 = WAIT_INTFB_UP      	1_0000 = WAIT_PA_PD         	1_0001 = NG_WAIT_BST_BYP    	1_0010 = NG_MOD_BLK         	1_0011 = NG_CLK_OFF         	1_0100 = NOISE_GATE         	1_0101 = NG_CLK_ON          	1_0110 = NG_MOD_UNBLK       	1_0111 = NG_INTFB           	,R,
82,0,19,1,spk_mute,1,Signal path mute	0 = Signal path un-muted	1 = Signal path muted,N,
83,0,19,0,spk_en,1,Signal path enable	0 = Signal path disabled	1 = Signal path enabled,N,
84,0,1A,0,ng_on,1,Setting of ng scenario. When set the sequencer enters in idle. It's meaningful only if REG50[0]=0.	0 = sequencer in play (default)	1 = sequencer in idle,N,
85,0,1B,0,auto_mode_en,1,Enable of automatic platform (written during i2c_load).	0 = Manual platform	1 = Automatic platform,N,
86,0,1C,0,force_et_seq_clock_on,1,Clock gating mode for sequencer and et digital blocks.	0 = Blocks dynamically gated (default)	1 = Blocks always on,N,
87,0,1D,0,pdm_mode_low_freq,1,Low power mode for modulator in PDM mode (downsample of filter output).	0 = Downsample not present	1 = Downsample present (low power mode),N,
88,0,20,4,ana_spare2[3:0],4,Spare i2c fields for analog purposes.,N,
89,0,20,0,ana_spare1[3:0],4,Spare i2c fields for analog purposes.,N,
90,0,30,7,tdm_resync,1,Re-start synchronization between TDM and audio path.,P,
91,0,31,2,tdm_delay_mode,1,TDM interface delayed mode setting (To be set when TDM is disabled)	0 = serial data is valid starting from the first bit of the communication	1 = serial data is valid with one bitclk period delay after the first bit of the communication (default),N,
92,0,31,1,tdm_fsyn_polarity,1,FSYN polarity (To be set when TDM is disabled)	0 = transmission starts at FSYN falling edge (default)	1 = transmission starts at FSYN rising edge,N,
93,0,31,0,tdm_bclk_polarity,1,BCLK polarity (To be set when TDM is disabled)	0 = SDI sampled at BCLK rising edge and SDO transmitted at BCLK falling edge (default)	1 = SDI sampled at BCLK falling edge and SDO transmitted at BCLK rising edge	,N,
94,0,32,4,tdm_fsyn_rate[2:0],3,TDM FYSN detected sample rate	000 = idle	001 = 48kHz	010 = 96kHz	011 = 192kHz	100 = 384kHz	101 = 768kHz,N,
95,0,32,0,tdm_bclk_osr[2:0],3,TDM detected BCLK OSR	000 = idle	001 = 20	010 = 32	011 = 40	100 = 48	101 = 64	,N,
96,0,33,0,tdm_i_skip_bclk[5:0],6,Number of BCLKs between FSYN edge and the first slot and between two slots (0-63) (needs tdm_apply_conf),N,
97,0,35,6,tdm_i_slot_size[1:0],2,TDM interface slot size (needs tdm_apply_conf):	00 = 20 bits (default)	01 = 16 bits	10 = 24 bits	11 = 32 bits ,N,
98,0,35,5,tdm_ch1i_dl,1,Channel 1 in data length (needs tdm_apply_conf)	0 = 20 bit  (default)	1 = 16 bit	,N,
99,0,35,0,tdm_ch1i_slot[4:0],5,"TDM interface slot for channel 1 input (needs tdm_apply_conf, 0 means no slot assigned to channel 1)",N,
100,0,39,7,tdm_fsyn_rate_mnt_en,1,TDM FSYN rate monitor enable	0 = disabled (default)	1 = enabled,N,
101,0,39,6,tdm_fsyn_mnt_en,1,TDM FSYN monitor enable	0 = disabled	1 = enabled (default),N,
102,0,39,4,tdm_fsyn_mnt_mode[1:0],2,TDM FSYN monitor mode	00 = only interrupt	01 = immediate shutdown	10 = audio chain reset (default)	11 = audio chain permanent disable,N,
103,0,39,0,tdm_fsyn_mnt_mask_cnt[3:0],4,TDM FSYN monitor initial mask count (number of FSYN to skip),N,
104,0,3A,2,tdm_sync_mode,1,TDM sync mode	0 = internal synchronisms not linked to TDM (default)	1 = internal synchronisms in phase with TDM,N,
105,0,3A,1,tdm_bclk_mnt_mode,1,TDM BCLK monitor mode	0 = fault if OSR changes	1 = don't fault if OSR changes (default),N,
106,0,3A,0,tdm_auto_fsyn_rate,1,TDM FSYN rate mode	0 = FSYN_RATE is programmed trough TDM_FSYN_RATE	1 = FSYN_RATE is detected by clock monitor (default),N,
107,0,3B,0,fir1_m2db,1,Attenuation mode of FIR1 up-sample filter.	0 = 0dB	1 = -2dB	,N,
108,0,3F,0,tif_spare[7:0],8,Spare register for digital tif block.	,R,
109,0,50,6,ngif_filt_ratio[1:0],2,Select the ratio to be used by NGIF_FILT_SAMPLE	00 = 1 (default) 	01 = 2	10 = 4	11 = 8 ,N,
110,0,50,4,ngif_filt_sample[1:0],2,Selects the time filter duration for automute to be issued.	Signal under threshold condition is deglitched with the selected timing before automute being issued.	Automute is released immediately as soon as audio signal returns above threshold. (R set by NGIF_FILT_RATIO)	00 = 6260xR sample (default)	01 = 3130xR sample	10 =   780xR sample 	11 =   130xR sample,N,
111,0,50,3,ngif_hyst_en,1,Selects the audio signal hysteretic double threshold to be used for amutomute control.	0 = no hysteresis (default)	1 = 6dB,N,
112,0,50,1,ngif_mask,1,Noise-gating mask:	0 = only interrupt (default)	1 = automatic mute,N,
113,0,50,0,ngif_en,1,Noise-gating enable	0 = disabled	1 = enabled (default),N,
114,0,51,0,ngif_thresh[12:8],5,Noise-gate interface threshold for channel 1. QS0.19,N,52
115,0,52,0,ngif_thresh[7:0],8,Noise-gate interface threshold for channel 1. QS0.19,N,51
116,0,70,7,sdm1_order,1,SDM1 order selection:	0: first order (default)	1: second order,N,
117,0,70,6,sdm1_dith_type,1,SDM1 dither type:	0: high-pass filtered white noise (default)	1: white noise,N,
118,0,70,4,sdm1_dith_div[1:0],2,SDM1 dithering division:	00: dither disabled (default)	01: dither / 1	10: dither / 2	11: dither / 4,N,
119,0,70,0,sdm1_dith_strength[3:0],4,SDM1 dithering amplitude selection: -49dB + DITH_STRENGTH*1dB,N,
120,0,71,7,sdm2_order,1,SDM2 order selection:	0: first order (default)	1: second order,N,
121,0,71,6,sdm2_dith_type,1,SDM2 dither type:	0: high-pass filtered white noise (default)	1: white noise,N,
122,0,71,4,sdm2_dith_div[1:0],2,SDM2 dithering division:	00: dither disabled (default)	01: dither / 1	10: dither / 2	11: dither / 4,N,
123,0,71,0,sdm2_dith_strength[3:0],4,SDM2 dithering amplitude selection: -49dB + DITH_STRENGTH*1dB,N,
124,0,72,7,sdm3_order,1,SDM3 order selection:	0: first order (default)	1: second order,N,
125,0,72,6,sdm3_dith_type,1,SDM3 dither type:	0: high-pass filtered white noise (default)	1: white noise,N,
126,0,72,4,sdm3_dith_div[1:0],2,SDM3 dithering division:	00: dither disabled (default)	01: dither / 1	10: dither / 2	11: dither / 4,N,
127,0,72,0,sdm3_dith_strength[3:0],4,SDM3 dithering amplitude selection: -49dB + DITH_STRENGTH*1dB,N,
128,0,75,6,dwa1_freq_sel[1:0],2,DWA1 frequency selection.	00: DAC clock (default)	01: DAC clock / 2	10: DAC clock / 4	11: DAC clock / 8,N,
129,0,75,4,dwa1_level[1:0],2,DAC1 number of elements to be used.	00: 32 (default)	01: 30	1x: 28,N,
130,0,75,3,dac_forcez3,1,DAC3 Force Zero.,N,
131,0,75,2,dac_forcez2,1,DAC2 Force Zero.,N,
132,0,75,1,dac_forcez1,1,DAC1 Force Zero.,N,
133,0,75,0,dac_inv_dwa_data,1,DAC data inversion.	0: normal mode (default)	1: data is inverted,N,
134,0,76,6,dwa3_freq_sel[1:0],2,DWA3 frequency selection.	00: DAC clock (default)	01: DAC clock / 2	10: DAC clock / 4	11: DAC clock / 8,N,
135,0,76,4,dwa3_level[1:0],2,DAC3 number of elements to be used.	00: 64 (default)	01: 62	1x: 60,N,
136,0,76,2,dwa2_freq_sel[1:0],2,DWA2 frequency selection.	00: DAC clock (default)	01: DAC clock / 2	10: DAC clock / 4	11: DAC clock / 8,N,
137,0,76,0,dwa2_level[1:0],2,DAC2 number of elements to be used.	00: 32 (default)	01: 30	1x: 28,N,
138,0,77,6,dwa1_mode[1:0],2,DAC1 randomizer type selection.	0x0: DI-DWA	0x1: DDI-DWA	0x2: SHIFTER (default)	0x3: OFF,N,
139,0,77,0,dwa1_shift_sel[4:0],5,DAC1 shift selection.	SHIFT is DWA1_SHIFT_SEL+1 (default is 1),N,
140,0,78,6,dwa2_mode[1:0],2,DAC2 randomizer type selection.	0x0: DI-DWA	0x1: DDI-DWA	0x2: SHIFTER (default)	0x3: OFF,N,
141,0,78,0,dwa2_shift_sel[4:0],5,DAC2 shift selection.	SHIFT is DWA2_SHIFT_SEL+1 (default is 16),N,
142,0,79,6,dwa3_mode[1:0],2,DAC3 randomizer type selection.	0x0: DI-DWA	0x1: DDI-DWA	0x2: SHIFTER (default)	0x3: OFF,N,
143,0,79,0,dwa3_shift_sel[5:0],6,DAC2 shift selection.	SHIFT is DWA2_SHIFT_SEL+1 (default is 16),N,
144,0,7A,7,dac1_dyc_en,1,Enable of dynamic compensation for DAC1.	0: disabled (default)	1: enabled,N,
145,0,7A,0,dac1_dyc_target[5:0],6,Target od dynamic compensation feature for DAC1.,N,
146,0,7B,7,dac2_dyc_en,1,Enable of dynamic compensation for DAC2.	0: disabled (default)	1: enabled,N,
147,0,7B,0,dac2_dyc_target[5:0],6,Target od dynamic compensation feature for DAC2.,N,
148,0,7C,7,dac3_dyc_en,1,Enable of dynamic compensation for DAC3.	0: disabled (default)	1: enabled,N,
149,0,7C,0,dac3_dyc_target[5:0],6,Target od dynamic compensation feature for DAC3.,N,
150,0,7F,0,mod_spare[7:0],8,Spare register for digital mod block.	,R,
151,0,80,4,pa_zsel[3:0],4,Load resistance setting:	0000: 12 Ohm (default)	1000: 24 Ohm	1100: 48 Ohm	1110: 96 Ohm	1111: 120 Ohm	Others: not allowed			,N,
152,0,80,3,tsd_pa_down_en,1,Not present in digital interface doc. To be completed by Maurizio,N,
153,0,80,2,ref_dvddldo_mode,1,Use of internal LDO for 1.8V supply:	0: 1.8V externally provided	1: Use internal LDO,N,
154,0,80,0,tsd_temp_sel[1:0],2,Not present in digital interface doc. To be completed by Maurizio,N,
155,0,81,0,rfu_tsd_temp_sel[1:0],2,Thermal shut down setting:	00: 105 deg	01: 115 deg	10: 125 deg	11: 135 deg,N,
156,0,83,0,dpa_ana_gain[2:0],3,Power Amplifier gain setting:	000: 12.25 dB	001: 14.93 dB	010: 18.18 dB	011: 21.30 dB	1xx: 23.41 dB,N,
157,0,84,7,bst_fault,1,Enable of hiz setting of bst. It's meaningful only if REG84[4]=1.	0: bst not in hiz	1: bst in hiz after a pwrok falling edge (default),N,
158,0,84,4,seq_pwrok_mode[2:0],3,PWROK mode selection (all actions remain active until software clear)	000 = MUTE sequence	001 = MUTE sequence and boost Hi-Z	010 = SDWN sequence 	011 = SDWN sequence and boost Hi-Z (default)	100 = interrupt only,N,
159,0,84,0,seq_pwrok_deglitch_range,1,Range selection for PWROK deglitch time	0 = from 460ns to 59us	1 = from 59us to 15.124ms (default),N,
160,0,85,0,seq_pwrok_deglitch_time[7:0],8,PWROK deglitch time (range scales wth SEQ_PWROK_DEGLITCH_RANGE),N,
161,0,86,3,pa_rsk,1,rsk mode:	0: high stability/reliability (default)	1: low noise,N,
162,0,86,2,pa_r300k_comp_dis,1,Internal 1.2MW resistor to improve clock&pop performance:	0: enabled (default)	1: diabled,N,
163,0,86,1,pa_lp_en,1,Power Amplifier current control:	0: low noise	1: low current (default),N,
164,0,86,0,pa_ocp_en,1,Reseved,N,
165,0,87,0,pa_clamp_th[4:0],5,Not present in digital interface doc. To be completed by Maurizio,N,
166,0,88,0,pa_nmos_clamp_th[4:0],5,Not present in digital interface doc. To be completed by Maurizio,N,
167,0,8F,0,seq_spare[7:0],8,Spare register for digital sequencer block.	,R,
168,0,B0,7,bst_byp_en,1,Enable of bypass mode:	1 enable	0 disable,N,
169,0,B0,6,bst_zc_en,1,Enable of zerocross circuit:	1 enable	0 disable,N,
170,0,B0,5,bst_bat_track_en,1,Enable of battery tracking circuit:	1 enable	0 disable,N,
171,0,B0,4,bst_mfl_en,1,Enable of minimum frequency lock circuit:	1 enable	0 disable,N,
172,0,B0,3,bst_env_track_en,1,Enable of envelope track circuit:	1 enable	0 disable	comparator that tells if the boost is tracking,N,
173,0,B0,1,bst_ocp_en,1,Enable of ovr current protection circuit:	1 enable	0 disable,N,
174,0,B0,0,bst_en,1,General boost enable:	1 enable	0 disable,N,
175,0,B1,7,bst_env_err_en,1,Enable of envelope error circuit:	1 enable	0 disable	comparator that tells if the VBSO is too low,N,
176,0,B1,6,bst_bootstrap_en,1,Enable of bootstrap circuit:	1 enable	0 disable,N,
177,0,B1,5,bst_amp_bias_en,1,Enable of bias loop error amplifier circuit:	1 enable	0 disable,N,
178,0,B1,4,bst_amp_bso_en,1,Enable of bso loop error amplifier circuit:	1 enable	0 disable,N,
179,0,B1,3,bst_comp_bias_en,1,Enable of bias loop pwm comparator circuit:	1 enable	0 disable,N,
180,0,B1,2,bst_comp_bso_en,1,Enable of bso loop pwm comparator circuit:	1 enable	0 disable,N,
181,0,B1,1,bst_bias_ovp_en,1,Enable of bias over voltage comparator circuit:	1 enable	0 disable	,N,
182,0,B1,0,bst_bso_ovp_en,1,Enable of bso over voltage comparator circuit:	1 enable	0 disable,N,
183,0,B2,6,bst_mfl_sel[1:0],2,Selection bit for the lowest possible switching frequency:	00 - 20.5kHz	01 - 24.4kHz	10 - 28.2kHz	11 - 33.6kHz,N,
184,0,B2,4,bst_ovp_bso_sel[1:0],2,Selection bits for the bias over voltage limit:	00: 21.45V	01: 22.55V	10: 23.65V	11: 24.47V,N,
185,0,B2,2,bst_ovp_bias_th[1:0],2,Selection bit for the lowest possible switching frequency:	00: +0	01: +1	10: +2	11: +3,N,
186,0,B2,1,bst_ls_sel,1,selct the state of the low side switch when the force mode is active:	1: on	0: off,N,
187,0,B2,0,bst_power_force,1,Enable direct forcing of the power mos for testing:	1 enable	0 disable,N,
188,0,B3,5,bst_lp_en,1,unused,N,
189,0,B3,4,bst_clamp_bias_en,1,Enable of bias clamp circuit:	1 enable	0 disable,N,
190,0,B3,3,bst_clamp_bso_en,1,Enable of  bso clamp circuit:	1 enable	0 disable,N,
191,0,B3,0,bst_loop_cap_sel[2:0],3,Selection bit for the lowest possible switching frequency:	00: 300fF	01: 600fF default	10: 900fF	11: 1.2pF	other code not used,N,
192,0,B4,3,force_bst_env_err,1,Not present in digital interface doc. To be completed by Maurizio,N,
193,0,B4,2,bst_hsb_sel,1,selct the state of the high side b switch when the force mode is active:	1: on	0: off,N,
194,0,B4,1,bst_hsa_sel,1,select the state of the high side a switch when the force mode is active:	1: on	0: off,N,
195,0,B4,0,bst_byp_sel,1,select the state of the bypass switch when the force mode is active:	1: on	0: off,N,
196,0,C0,0,bst_ocp_sel[2:0],3,None,N,
197,0,C1,4,bst_att_step[2:0],3,Boost attack step. 	Step = 1 + BST_ATT_STEP[2:0],N,
198,0,C1,0,bst_att_time[8],1,Boost attack time. 	Time for each step = Trefclk x BST_ATT_TIME[8:0],N,C2
199,0,C2,0,bst_att_time[7:0],8,Boost attack time. 	Time for each step = Trefclk x BST_ATT_TIME[8:0],N,C1
200,0,C3,4,bst_rel_step[2:0],3,Boost release step. 	The step is 1 + BST_REL_STEP[2:0],N,
201,0,C3,0,bst_rel_time[11:8],4,Boost relase time. 	Time for each step = 2us x BST_REL_TIME[11:0],N,C4
202,0,C4,0,bst_rel_time[7:0],8,Boost relase time. 	Time for each step = 2us x BST_REL_TIME[11:0],N,C3
203,0,C5,4,bst_rel_time_pd_sel,1,BST release time for power-down	0 = same as playback (default)	1 = related to bst_rel_time_fault field,N,
204,0,C5,0,bst_rel_time_fault[11:8],4,Boost relase time after a fault.	Time for each step = 2us x BST_REL_TIME[11:0],N,C6
205,0,C6,0,bst_rel_time_fault[7:0],8,Boost relase time after a fault.	Time for each step = 2us x BST_REL_TIME[11:0],N,C5
206,0,C7,4,bst_first_step[2:0],3,Boost attack first step. 	The step is 1 + BST_FIRST_STEP[2:0],N,
207,0,C7,0,bst_byp_track_time[3:0],4,Battery tracking time in bypass mode.	Time for battery tracking = 200us x BST_BYP_TRACK_TIME[3:0],N,
208,0,C8,0,bst_dgltch_byp[2:0],3,Deglitch on rising edge of bypass analog signal. It is gated when there's a boost request from input or when BSO dac is forced by means of reg0F[4] of page 1.	Deglitch = 10us x BST_DGLTCH_BYP,N,
209,0,C9,0,bst_dc_bias[4:0],5,None,N,
210,0,CA,0,bst_bso[6:0],7,Starting value for BSO dac loaded during sequencer power-on. This value is set in fixed way when BSO dac is forced by means of reg0F[4] of page 1.	BSO value = BST_BSO[6:0] * 0.275mV,N,
211,0,CB,7,bst_bso_head_range_dis,1,Disable of BSO range-based headroom.	0 = headroom depends on BSO range	1 = headroom is set by BST_BSO_HEAD_HIGH_RANGE in dig mode and by BST_HEAD_TRACK_HIGH_RANGE in ana mode.,N,
212,0,CB,0,bst_bso_head_range_sel[6:0],7,Range selection for BSO headroom.	BSO range threshold = BST_BSO_HEAD_RANGE_SEL[6:0] * 0.275mV,N,
213,0,CC,0,bst_bso_head_low_range[4:0],5,"In dig mode, applied BSO headroom when current bst_bso is lower than BST_BSO_HEAD_RANGE_SEL.	BSO headroom = BST_BSO_HEAD_LOW_RANGE[4:0] * 0.275mV",N,
214,0,CD,0,bst_bso_head_high_range[4:0],5,"In dig mode, applied BSO headroom when current bst_bso is higher than BST_BSO_HEAD_RANGE_SEL.	BSO headroom = BST_BSO_HEAD_HIGH_RANGE[4:0] * 0.275mV",N,
215,0,CE,4,bst_head_track_high_range[2:0],3,"In ana mode, applied BSO headroom when current bst_bso is higher than BST_BSO_HEAD_RANGE_SEL.	BSO headroom = (1 + BST_HEAD_TRACK_HIGH_RANGE) x 0.5V",N,
216,0,CE,0,bst_head_track_low_range[2:0],3,"In ana mode, applied BSO headroom when current bst_bso is higher than BST_BSO_HEAD_RANGE_SEL.	BSO headroom = (1 + BST_HEAD_TRACK_LOW_RANGE) x 0.5V",N,
